key,value, 誤字の修正や記号・表記ゆれ・意味の統一
～,ー
:,は、
面白みに欠ける,つまらない
ステンドガラス,ステンドグラス
変えてほしい,嫌
グチャグチャ,ぐちゃぐちゃ
ゴチャゴチャ,ごちゃごちゃ
モジャモジャ,もじゃもじゃ
ものたりない,物足りない
おもしろい,面白い
カッコイイ,かっこいい
カッコいい,かっこいい
目が疲れる,眩しい
やわらかい,柔らかい
あかるい,明るい
あざやか,鮮やか
あってる,合ってる
あらぶる,荒ぶる
あんまり,あまり
いっぱい,多い
いまいち,イマイチ
おだやか,穏やか
落ちつく,落ち着く
おちつく,落ち着く
かくかく,カクカク
格好いい,かっこいい
かなしい,悲しい
ぎざぎざ,ギザギザ
きたない,汚い
きになる,気になる
ｷﾆﾅﾙ,気になる
くすんで,濁って
コラ画像,コラージュ画像
さわやか,爽やか
じわじわ,じんわり
ジワジワ,じんわり
すくない,少ない
ちかちか,チカチカ
つかれる,疲れる
つめたい,冷たい
とっても,とても
とげとげ,刺々
トゲトゲ,刺々
なめらか,滑らか
にごって,濁って
ハッキリ,はっきり
ばらばら,バラバラ
ぴかぴか,光る
ピカピカ,光る
ビビッド,鮮やか
ビミョー,微妙
ふぞろい,不揃い
ボンヤリ,ぼんやり
まとまって,纏まって
まとまり,纏まり
まぶしい,眩しい
見にくい,見づらい
みにくい,見づらい
みづらい,見づらい
やさしい,優しい
輝度差,コントラスト
あわい,淡い
うすい,淡い
おおい,多い
きれい,綺麗
くらい,暗い
こわい,怖い
したい,良い
じゃま,邪魔
ジャマ,邪魔
すこし,少し
ダーク,暗い
にがて,苦手
バラけ,分散
ブキミ,不気味
ほしい,良い
欲しい,良い
みやす,見やす
動作,躍動感
いや,嫌
イヤ,嫌
薄い,淡い
好み,好き
すき,好き
まる,丸
よい,良い
よき,良い
減らして,少ない
減らす,少ない
増やして,多い
増やす,多い
濃すぎる,濃すぎる
薄すぎる,薄すぎる
